Filename 	 swathNumber 	 targetMz 	 scansPerSwath 	 AvgMzRange 	 SwathProportionOfTotalTIC 	 swDensityAverage 	 swDensityIQR 	 swAvgProportionSinglyCharged 
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	1	412.5	2277	25	0.032131202	3015	4337	0.073676229
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	2	437	2277	25	0.033904673	3480	4633	0.074981783
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	3	462	2277	25	0.036028825	3770	4633	0.073658351
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	4	487	2277	25	0.038459626	4146	4198	0.075268419
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	5	512	2277	25	0.038909833	4381	4049	0.075614092
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	6	537	2277	25	0.039728035	4687	3606	0.076084347
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	7	562	2277	25	0.043414076	4983	3589	0.076908181
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	8	587	2277	25	0.044265451	5298	3288	0.077835084
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	9	612	2277	25	0.040327347	5395	3218	0.077300641
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	10	637	2277	25	0.041194528	5506	2919	0.077409763
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	11	662	2277	25	0.04109727	5648	3252	0.076476774
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	12	687	2277	25	0.041147754	5860	3056	0.075440182
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	13	712	2277	25	0.042102697	5853	3084	0.075763767
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	14	737	2277	25	0.040874981	5875	3439	0.074258654
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	15	762	2277	25	0.038715428	5884	3931	0.072799837
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	16	787	2277	25	0.041516882	5924	3970	0.072198439
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	17	812	2277	25	0.035290561	5779	4164	0.071328095
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	18	837	2277	25	0.035000461	5640	4725	0.069511832
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	19	862	2277	25	0.030453164	5605	4509	0.068874697
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	20	887	2277	25	0.033096502	5502	4599	0.067248994
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	21	912	2277	25	0.028906334	5459	4657	0.066873036
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	22	937	2277	25	0.027629866	5307	5128	0.06490654
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	23	962	2277	25	0.024918416	5136	5187	0.063899364
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	24	987	2277	25	0.022336835	4990	5130	0.063707339
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	25	1012	2277	25	0.019623335	4805	5365	0.061337566
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	26	1037	2277	25	0.019367011	4734	5361	0.061348515
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	27	1062	2277	25	0.016544017	4501	5002	0.060470602
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	28	1087	2277	25	0.016791841	4329	5234	0.058536951
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	29	1112	2277	25	0.015930526	4283	5090	0.058240993
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	30	1137	2277	25	0.013681348	4104	5143	0.057164558
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	31	1162	2277	25	0.014572812	4140	5325	0.057045806
olgas_K121026_001_SW_Wayne_R1_d00.wiff.scan	32	1187	2277	25	0.012038362	3811	4933	0.05502166
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	1	412.5	2277	25	0.029550157	3018	4672	0.071946906
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	2	437	2277	25	0.032720594	3531	4735	0.074254237
